0	Pour les opérations d’exploitation non routinières, telles que le tirage de crayons en mode manuel, ce mode de formation ne s’avère pas suffisamment efficace. Ces opérations demanderaient une présence accrue de l’encadrement, ou des méthodes, avec des consignes particulières préalablement à la réalisation et une surveillance directe et permanente du déroulement des opérations. Je vous demande, au titre de l’article 13.3 de l’arrêté qualité, de mettre en place les 1. dispositions particulières de préparation et d’encadrement pour les opérations non routinières de fabrication.  Les causes de l’événement en objet sont pour partie liées à un défaut de positionnement de pièces mécaniques après maintenance du banc de tirage. Certaines opérations de maintenance nécessitent des démontages et remontages de pièces mécaniques. Les instructions de travail examinées ne précisent pas quels sont les contrôles à réaliser pour s’assurer de la conformité du remontage en fin d’opération. 2. Je vous demande, au titre de l’article 13.3 de l’arrêté qualité, d’améliorer les instructions de maintenance afin d’assurer une remise en configuration des équipements après les opérations de démontage et remontage, et d’en conserver la traçabilité.  L’analyse de l’événement a conduit à définir une amélioration du logiciel avec la mise en place d’une sécurité logicielle d’arrêt de la machine en cas de dépassement de cote de l’extrémité d’un crayon.
1	Vous voudrez bien me faire part de vos observations et réponses concernant ces points au plus tard sous 2 mois. Je vous demande d’identifier clairement les engagements que vous seriez amené à prendre et de préciser, pour chacun d’eux, une échéance de réalisation.  Je vous prie d’agréer, monsieur le directeur général, l’expression de ma considération  distinguée.  Pour le Président de l’ASN et par déégation, Le Chef de la Division de Marseille  Signé par  Pierre PERDIGUIER  3/3
2	Dans une seconde phase, les inspecteurs ont examiné la déclinaison locale du nouveau manuel qualité national ainsi que le compte rendu de l’audit interne concernant la surveillance des prestataires. Enfin, l’équipe d’inspection a appelé l’attention de vos représentants sur le développement d’une politique de prévention vis-à-vis du risque de conflit d’intérêts, notamment dans le cadre de la surveillance des activités et au regard des évolutions réglementaires à venir.  Au vu de cet examen par sondage, l’organisation actuelle définie et mise en œuvre sur le site pour la surveillance des prestataires paraît robuste.  www.asn.fr  10, boulevard du général Vanier • CS 60040 • 14006 Caen cedex  Téléphone 02 31 46 50 42 • Fax 02 31 46 50 43  A Demandes d’actions correctives  A.1 Pérennité et cohérence des actions correctives prisent à la suite des demandes de l’ASN pour ce qui concerne les nouvelles notes qualité pour la surveillance des prestataires auxquels l’entité EDF du CEIDRE a recours  Le représentant du Centre d’Expertise et d’Inspection dans les Domaines de la Réalisation et de l’Exploitation d’EDF (CEIDRE) présent lors de l’inspection a indiqué aux inspecteurs la mise en place d’une nouvelle note concernant le suivi de la surveillance sur le chantier de l’EPR via la note référencée EDIEST 100406 à l’indice C. Celle-ci succède pour la partie chantier à la note référencée EDIEST 100118.
3	Jai Phonneur de vous communiquer ci-dessous la synthése de linspection ainsi que les principales demandes et observations qui résultent des constatations faites, a cette occasion, par les inspecteurs.  Synthése de l’inspection  Liinspection avait pour objet la vérification des actions de surveillance exercées par EDF/Ceidre sur le prestataire Westinghouse en charge des examens non destructifs (END) réalisés sur la cloison des générateurs de vapeur (GV). Cette inspection s'est déroulée sur le site de Nogent a Poccasion des contrdles réalisés sur la cloison des GV n°1, 2 et 3 au cours de la deuxiéme visite décennale (VD2) du réacteur n°2. Les contrdles de la cloison des GV sont réalisés avec le porteur ICAR3G, mis en ceuvre pour la premiére fois lors de cet arrét.  www.asn.fr 15-17, avenue Jean Bertin * BP 16610 * 21066 Dijon cedex Téléphone 03 80 29 40 37 + Fax 03 80 29 40 88  Etant donné le caractére inopiné de inspection, et ’absence du prestataire concerné, seules les  conditions de mise en ceuvre du porteur ICAR3G (application qualifiée le 12/02/2010 et mise en ceuvre le 13/02/2010) ainsi que les documents associés ont été examinés. L’organigramme fonctionnel intervention et les niveaux de qualification requis ont fait objet d’un examen.
4	Demande II.1 : Vous conformer aux exigences susmentionnées en veillant à la documentation a priori des modalités de contrôle technique et à la traçabilité a posteriori du contrôle technique effectivement mis en œuvre. Informer l’ASN des actions menées en ce sens et justifier, le cas échéant, la suffisance d’un contrôle technique documentaire pour ce type d’activités.  L’inspecteur a examiné la surveillance mise en œuvre par vos services sur les intervenants extérieurs en charge des activités de suivi en service des DAB. Il est apparu que vos services ont identifié ces activités comme « sensibles » lors des arrêts en cours et ont ainsi déployé un suivi renforcé de ces activités. Néanmoins, lors de l’examen de la surveillance mise en œuvre, l’inspecteur a relevé que cette surveillance s’est traduite essentiellement par des contrôles documentaires après intervention et un relevé de cote contradictoire sur un DAB. Ainsi, aucune traçabilité de la réalisation d’une surveillance pendant la réalisation de l’activité et de son contrôle technique n’a pu être présentée, ce type de  3 / 8  surveillance permettant notamment d’évaluer l’adhérence aux procédures des intervenants et la gestion des éventuelles difficultés rencontrées. Par ailleurs, s’agissant d’une activité par campagne sur plusieurs DAB réalisée en même temps par les mêmes intervenants, le risque d’erreur répétée est important et nécessite une surveillance sur le terrain.
5	Je vous communique ci-dessous la synthèse de l’inspection ainsi que les principales demandes et  observations qui résultent des constatations faites, à cette occasion, par les inspecteurs.  Synthèse de l’inspection  L'inspection du 24 août 2015 portait sur l’événement significatif dans le domaine de la radioprotection (ESR) survenu le 18 août 2015, classé au niveau 2 sur l’échelle INES, et déclaré à l’ASN le 21 août 2015 [7]. Cet évènement a concerné le dépassement d’une limite réglementaire de dose reçue par un intervenant affecté à des activités sur un échangeur du circuit de contrôle chimique et volumétrique du circuit primaire 4 RCV 002 RF. Ce dépassement de dose est consécutif à une exposition cutanée externe, provoquée par une particule de Cobalt 60 placée au niveau du menton de l’intervenant.  www.asn.fr Adresse postale : Cité Administrative de Bordeaux • Boite 21 • 2, rue Jules Ferry • 33090 Bordeaux cedex  Adresse physique : 6, rue du Moulin Rouge • 33000 Bordeaux  Téléphone 05 56 00 04 46 • Fax 05 56 00 04 94  Les inspecteurs ont examiné les circonstances ayant conduit à la survenue de cet événement et les dispositions prises à la suite de cet événement, notamment pour décontaminer l’intervenant concerné et pour établir les hypothèses de calcul afin d’évaluer la dose reçue au niveau de la peau de l’agent.
6	Je vous demande par ailleurs, de manière plus générale, de veiller au bon remplissage des  documents assurant la traçabilité des opérations réalisées lors des prochaines expéditions de colis  FS47.  Interdiction de lubrification des assemblages boulonnés des FS47  Le dossier de sûreté du modèle de colis FS47 sur lequel se base le certificat prévoit que les assemblages  boulonnés ne fassent pas l’objet de lubrification. L’exploitant a confirmé qu’il n’était pas prévu de  lubrification lors de ces opérations. Les inspecteurs ont relevé que les modes opératoires ne précisaient  pas ce point.  Demande A2 : Je vous demande de préciser dans les modes opératoires utilisés pour la préparation  des colis FS47 l’interdiction de lubrifier les assemblages boulonnés du colis.  Puissance thermique des colis FS47 autorisés dans le caisson de transport  Tel qu’indiqué ci-dessus, les colis FS47 sont transportés dans un caisson confiné qui a fait l’objet d’une  autorisation de l’ASN. Cette autorisation impose une limitation de la puissance thermique des colis  FS47.  Les inspecteurs ont relevé que la fiche de vérification employée par l’exploitant ne précisait pas si la  valeur reportée était la puissance thermique maximale présente dans le FS47 le plus pénalisant ou la  puissance moyenne de l’ensemble des colis FS47.
7	L’article 4.1 de l’annexe à la décision [4] dispose que : « L’exploitant définit les effectifs et les compétences des équipiers de crise, en fonction des actions humaines requises et des conditions d’intervention susceptibles d’être rencontrées. L’exploitant met en œuvre les dispositions organisationnelles lui permettant de s’assurer que ces effectifs et ces compétences sont mobilisables à tout moment et pour une durée appropriée, et prévoyant notamment les relèves nécessaires. »  L’article 7.6-II de l’arrêté en référence [2] dispose que : « Les exercices et les situations d'urgence réelles font systématiquement l'objet, respectivement, d'une évaluation ou d'un retour d'expérience. Si nécessaire, le plan d'urgence interne est mis à jour et modifié au vu des enseignements tirés. »  Les inspecteurs se sont intéressés au retour d’expérience que vous avez tiré de l’ « exercice incendie » réalisé le 10/11/2016 dans le cadre de votre plan d’urgence interne (PUI). Vous avez identifié le besoin de mobiliser des équipiers de crise supplémentaires par rapport à ceux prévus dans votre PUI, en doublant certaines fonctions PUI afin de faciliter la gestion d’une situation d’urgence en début d’événement.  Vos représentants ont indiqué que cette nouvelle organisation serait prochainement formalisée dans votre note sous assurance qualité relative à la gestion des relèves.
8	Je vous prie d’agréer, monsieur le directeur, l’expression de ma considération distinguée.  L’adjoint au chef de la division de Marseille de L’Autorité de sûreté nucléaire,  Signé par  Pierre JUAN  3/3
9	RÉPUBLIQUE FRANÇAISE  DIVISION DE MARSEILLE  Marseille, le 20 septembre 2011  N/Réf. :  CODEP-MRS-2011-050321  Monsieur le directeur général délégué de l’établissement MELOX BP 93124 30203 BAGNOLS SUR CEZE Cedex  Objet : Contrôle des Installations nucléaires de base. INB 151 usine MÉLOX à Marcoule  Inspection n° INSSN-MRS-2011-0688 du 6 septembre 2011 REX événement significatif du 28 juin 2011 au banc d’assemblage TGM  Monsieur le directeur général délégué,  Dans le cadre de la surveillance des installations nucléaires de base prévue à l’article 40 de la loi n°2006-686 du 13 juin 2006, une inspection a eu lieu le 6 septembre 2011 sur le thème mentionné en objet.  Faisant suite aux constatations des inspecteurs de l’ASN formulées à cette occasion, j’ai l’honneur de vous communiquer ci-dessous la synthèse de l’inspection ainsi que les principales demandes et observations qui en résultent.  Synthèse de l’inspection  L’inspection du 6 septembre 2011 a porté sur l’événement significatif du 28 juin 2011 ayant conduit à la perte d’étanchéité de crayons sur le banc de montage des assemblages, et à la contamination de certains locaux.
